Year,Country,Parameter,Total
2015,Caribbean,EFConsPerCap,1.7004645036401154
2016,Caribbean,BiocapPerCap,0.6528775301561915
2016,Caribbean,EFConsPerCap,1.7155417467767156
1961,Central America,BiocapPerCap,3.9488559500723337
1961,Central America,EFConsPerCap,1.8441975225176723
1962,Central America,BiocapPerCap,3.823562621188302
1962,Central America,EFConsPerCap,1.7893980513708887
1963,Central America,BiocapPerCap,3.712402962351175
1963,Central America,EFConsPerCap,1.8157164179989869
1964,Central America,BiocapPerCap,3.6487257055904463
1964,Central America,EFConsPerCap,1.9082699094514977
1965,Central America,BiocapPerCap,3.531952382695944
1965,Central America,EFConsPerCap,1.877081231931085
1966,Central America,BiocapPerCap,3.454397208401233
1966,Central America,EFConsPerCap,1.88800818476671
1967,Central America,BiocapPerCap,3.3309659243708123
1967,Central America,EFConsPerCap,1.8976357538509367
1968,Central America,BiocapPerCap,3.24477961779186
1968,Central America,EFConsPerCap,1.914717743944256
1969,Central America,BiocapPerCap,3.1188300503338255
1969,Central America,EFConsPerCap,1.8880505897687212
1970,Central America,BiocapPerCap,3.0527814067692414
1970,Central America,EFConsPerCap,1.9989064130074548
1971,Central America,BiocapPerCap,2.932569715186304
1971,Central America,EFConsPerCap,1.9924176136111569
1972,Central America,BiocapPerCap,2.8226457647480383
1972,Central America,EFConsPerCap,1.9927488447994812
1973,Central America,BiocapPerCap,2.7572254963443337
1973,Central America,EFConsPerCap,2.115371598803901
1974,Central America,BiocapPerCap,2.6705727804217574
1974,Central America,EFConsPerCap,2.1728695094604666
1975,Central America,BiocapPerCap,2.5937319378809818
1975,Central America,EFConsPerCap,2.141927752935972
1976,Central America,BiocapPerCap,2.4871717908944584
1976,Central America,EFConsPerCap,2.067341275764942
1977,Central America,BiocapPerCap,2.448331747279389
1977,Central America,EFConsPerCap,2.129155443289932
1978,Central America,BiocapPerCap,2.4290287664018657
1978,Central America,EFConsPerCap,2.164413990620584
1979,Central America,BiocapPerCap,2.311040632132896
1979,Central America,EFConsPerCap,2.1653189319212607
1980,Central America,BiocapPerCap,2.2803155224731766
1980,Central America,EFConsPerCap,2.418570936711511
1981,Central America,BiocapPerCap,2.247319551292516
1981,Central America,EFConsPerCap,2.48931484640996
1982,Central America,BiocapPerCap,2.1459808206715167
1982,Central America,EFConsPerCap,2.2824678089105417
1983,Central America,BiocapPerCap,2.1400267338745933
1983,Central America,EFConsPerCap,2.208930454843002
1984,Central America,BiocapPerCap,2.101751773734036
1984,Central America,EFConsPerCap,2.231567784060066
1985,Central America,BiocapPerCap,2.077391046786337
1985,Central America,EFConsPerCap,2.2796725337989145
1986,Central America,BiocapPerCap,2.005540319013865
1986,Central America,EFConsPerCap,2.1159862912808296
1987,Central America,BiocapPerCap,1.9887531681022583
1987,Central America,EFConsPerCap,2.1455130921652383
1988,Central America,BiocapPerCap,1.9251248296636267
1988,Central America,EFConsPerCap,2.167878464668901
1989,Central America,BiocapPerCap,1.8740904742359057
1989,Central America,EFConsPerCap,2.2065230406125025
1990,Central America,BiocapPerCap,1.9044116182492783
1990,Central America,EFConsPerCap,2.260761071223325
1991,Central America,BiocapPerCap,1.8356160851027905
1991,Central America,EFConsPerCap,2.300021718880981
1992,Central America,BiocapPerCap,1.7928928452483055
1992,Central America,EFConsPerCap,2.33428070672004
1993,Central America,BiocapPerCap,1.7630417218773915
1993,Central America,EFConsPerCap,2.330464200694216
1994,Central America,BiocapPerCap,1.7295689361030504
1994,Central America,EFConsPerCap,2.46663415335529
1995,Central America,BiocapPerCap,1.6954387888787708
1995,Central America,EFConsPerCap,2.2952428677824224
1996,Central America,BiocapPerCap,1.7001776093894732
1996,Central America,EFConsPerCap,2.6423535468415142
1997,Central America,BiocapPerCap,1.643050333996907
1997,Central America,EFConsPerCap,2.6187890791574358
1998,Central America,BiocapPerCap,1.6263215735056504
1998,Central America,EFConsPerCap,2.6565041782219136
1999,Central America,BiocapPerCap,1.583502530724465
1999,Central America,EFConsPerCap,3.351658612417445
2000,Central America,BiocapPerCap,1.55324062378032
2000,Central America,EFConsPerCap,2.5814417570685726
2001,Central America,BiocapPerCap,1.5574422939988368
2001,Central America,EFConsPerCap,2.9236713874496907
2002,Central America,BiocapPerCap,1.522026277634902
2002,Central America,EFConsPerCap,2.729734049363928
2003,Central America,BiocapPerCap,1.5111204361154915
2003,Central America,EFConsPerCap,2.508665917968869
2004,Central America,BiocapPerCap,1.4908760322251149
2004,Central America,EFConsPerCap,2.2665628085791063
2005,Central America,BiocapPerCap,1.4281544724808823
2005,Central America,EFConsPerCap,2.6259221532009027
2006,Central America,BiocapPerCap,1.429319000396887
2006,Central America,EFConsPerCap,2.7419559920100345
2007,Central America,BiocapPerCap,1.4054335631778292
2007,Central America,EFConsPerCap,2.789551059786799
2008,Central America,BiocapPerCap,1.3931983792887026
2008,Central America,EFConsPerCap,2.8126222356895556
2009,Central America,BiocapPerCap,1.3453053897649188
2009,Central America,EFConsPerCap,2.6043614412510703
2010,Central America,BiocapPerCap,1.3414791965994293
2010,Central America,EFConsPerCap,2.8541293880768848
2011,Central America,BiocapPerCap,1.2798671281413736
2011,Central America,EFConsPerCap,2.5389595566023906
2012,Central America,BiocapPerCap,1.3061921948901898
2012,Central America,EFConsPerCap,2.660582100492917
2013,Central America,BiocapPerCap,1.277886266238227
2013,Central America,EFConsPerCap,2.4417740703420385
2014,Central America,BiocapPerCap,1.2801182968333742
2014,Central America,EFConsPerCap,2.3790918530487986
2015,Central America,BiocapPerCap,1.2425102708906006
2015,Central America,EFConsPerCap,2.3946944041179825
2016,Central America,BiocapPerCap,1.2457911158546957
2016,Central America,EFConsPerCap,2.4297917732417806
1961,Central Asia,BiocapPerCap,2.658405650504744
1961,Central Asia,EFConsPerCap,3.79583064242676
1962,Central Asia,BiocapPerCap,2.6238625684211487
1962,Central Asia,EFConsPerCap,3.8847738890420542
1963,Central Asia,BiocapPerCap,2.507373333989724
1963,Central Asia,EFConsPerCap,3.981828897515145
1964,Central Asia,BiocapPerCap,2.591683491740129
1964,Central Asia,EFConsPerCap,4.268688013414536
1965,Central Asia,BiocapPerCap,2.4883263641991173
1965,Central Asia,EFConsPerCap,4.282982334645204
1966,Central Asia,BiocapPerCap,2.5940792367860133
1966,Central Asia,EFConsPerCap,4.564708133803582
1967,Central Asia,BiocapPerCap,2.518099468081886
1967,Central Asia,EFConsPerCap,4.596911864915326
1968,Central Asia,BiocapPerCap,2.5352847435537145
1968,Central Asia,EFConsPerCap,4.724786406960912
1969,Central Asia,BiocapPerCap,2.4964956657852793
1969,Central Asia,EFConsPerCap,4.7676812146599055
1970,Central Asia,BiocapPerCap,2.548185353351624
1970,Central Asia,EFConsPerCap,5.0413200315327416
1971,Central Asia,BiocapPerCap,2.491558344568145
1971,Central Asia,EFConsPerCap,4.494672832367535
1972,Central Asia,BiocapPerCap,2.4355867895889243
1972,Central Asia,EFConsPerCap,4.642182220039811
1973,Central Asia,BiocapPerCap,2.5446778011610744
1973,Central Asia,EFConsPerCap,5.040731783387209
1974,Central Asia,BiocapPerCap,2.445388783666244
1974,Central Asia,EFConsPerCap,4.979181412072844
1975,Central Asia,BiocapPerCap,2.3107888787165547
1975,Central Asia,EFConsPerCap,5.0478108086591575
1976,Central Asia,BiocapPerCap,2.456326511088448
1976,Central Asia,EFConsPerCap,5.306615279727052
1977,Central Asia,BiocapPerCap,2.3940916349422205
1977,Central Asia,EFConsPerCap,5.179384846182923
1978,Central Asia,BiocapPerCap,2.44380837500224
1978,Central Asia,EFConsPerCap,5.305222695707204
1979,Central Asia,BiocapPerCap,2.3175728267323854
1979,Central Asia,EFConsPerCap,5.267503832066224
1980,Central Asia,BiocapPerCap,2.3159146237210755
1980,Central Asia,EFConsPerCap,5.321963282812977
1981,Central Asia,BiocapPerCap,2.2348894761265448
1981,Central Asia,EFConsPerCap,5.126817975397775
1982,Central Asia,BiocapPerCap,2.281315204118774
1982,Central Asia,EFConsPerCap,5.15848162763301
1983,Central Asia,BiocapPerCap,2.2686500243300647
1983,Central Asia,EFConsPerCap,5.1312406149619685
1984,Central Asia,BiocapPerCap,2.199795914425253
1984,Central Asia,EFConsPerCap,5.1240459013242505
1985,Central Asia,BiocapPerCap,2.2175474680842715
1985,Central Asia,EFConsPerCap,5.185553643757863
1986,Central Asia,BiocapPerCap,2.2258610096637823
1986,Central Asia,EFConsPerCap,5.2380899894373325
1987,Central Asia,BiocapPerCap,2.2059137812867786
1987,Central Asia,EFConsPerCap,5.356757763583253
1988,Central Asia,BiocapPerCap,2.1438997746112287
1988,Central Asia,EFConsPerCap,5.146498881213209
1989,Central Asia,BiocapPerCap,2.1730096788209807
1989,Central Asia,EFConsPerCap,5.209508065990934
1990,Central Asia,BiocapPerCap,2.203971561679754
1990,Central Asia,EFConsPerCap,5.057287097983228
1991,Central Asia,BiocapPerCap,2.076694715006376
1991,Central Asia,EFConsPerCap,4.823830999053368
1992,Central Asia,BiocapPerCap,2.253789164500557
1992,Central Asia,EFConsPerCap,4.935830853304473
1993,Central Asia,BiocapPerCap,2.0347952297842875
1993,Central Asia,EFConsPerCap,4.022294332080277
1994,Central Asia,BiocapPerCap,1.9144882303116968
1994,Central Asia,EFConsPerCap,3.6387623327072336
1995,Central Asia,BiocapPerCap,1.731293458357975
1995,Central Asia,EFConsPerCap,3.1477360191496886
1996,Central Asia,BiocapPerCap,1.705981171343557
1996,Central Asia,EFConsPerCap,2.571067191587013
1997,Central Asia,BiocapPerCap,1.7557268108174924
1997,Central Asia,EFConsPerCap,2.6446183471256672
1998,Central Asia,BiocapPerCap,1.647791457663301
1998,Central Asia,EFConsPerCap,2.4736703945220238
1999,Central Asia,BiocapPerCap,1.850534622884805
1999,Central Asia,EFConsPerCap,2.1260411237432733
2000,Central Asia,BiocapPerCap,1.7556621457790509
2000,Central Asia,EFConsPerCap,2.081275734795609
2001,Central Asia,BiocapPerCap,1.8654494201105571
2001,Central Asia,EFConsPerCap,2.3500385358609663
2002,Central Asia,BiocapPerCap,1.878296871730602
2002,Central Asia,EFConsPerCap,2.4664753898909217
2003,Central Asia,BiocapPerCap,1.8570403128863051
2003,Central Asia,EFConsPerCap,2.6197663660226613
2004,Central Asia,BiocapPerCap,1.7787590088211402
2004,Central Asia,EFConsPerCap,2.6167439507357075
2005,Central Asia,BiocapPerCap,1.8023599513313164
2005,Central Asia,EFConsPerCap,2.7478301039845894
2006,Central Asia,BiocapPerCap,1.8256647611262964
2006,Central Asia,EFConsPerCap,2.9286170348930147
2007,Central Asia,BiocapPerCap,1.8362035644371308
2007,Central Asia,EFConsPerCap,3.100082887945128
2008,Central Asia,BiocapPerCap,1.6885069404228323
2008,Central Asia,EFConsPerCap,3.2298416186747705
2009,Central Asia,BiocapPerCap,1.8163639815145396
2009,Central Asia,EFConsPerCap,3.0824192786038576
